English,Hindi
Uncle,चाचा
Poor,गरीब
Red,लाल
Past,अतीत
Earth,धरती
Possible,संभव
Shoot,गोली मार
Touch,छूना
Sound,आवाज़
Top,शीर्ष
Laughing,हँसना
Words,शब्द
Hospital,अस्पताल
Street,गली
Hang,लटकाना
Dance,नृत्य
Meeting,बैठक
Till,तक
Others,अन्य
Catch,पकड़ना
Follow,अनुसरण करना
Book,किताब
Send,भेजना
White,सफ़ेद
Hour,घंटा
Anybody,कोई
Small,छोटा
Perfect,उत्तम
Cause,कारण
Live,रहना
Special,विशेष
Parent,माता-पिता
Buy,खरीदना
Telling,कह
Honey,शहद
Tried,कोशिश की
Front,सामने
Team,टीम
Answer,उत्तर
Gun,बंदूक
Boy,लड़का
Line,रेखा
Send,भेजना
News,समाचार
Stupid,मूर्ख
Bed,बिस्तर
Hurry,जल्दी
Full,भरा हुआ
Month,महीना
Save,बचाना
Sometimes,कभी-कभी
Become,बनना
Along,साथ में
Hate,घृणा
Food,खाना
Outside,बाहर
Light,रोशनी
Dog,कुत्ता
Country,देश
Clear,स्पष्ट
Order,आदेश
Vegitable,सब्जी
Hot,गर्म
Funny,मज़ेदार
Black,काला
Woman,महिला
Alive,जीवित
Pick,चुनना
Feeling,अनुभूति
Living,जीविका
Ahead,आगे
Lose,खोना
King,राजा
Plan,योजना
Dinner,रात का खाना
Sighs,विलाप
Sort,क्रम से लगाना
Leave,छुट्टी
Run,दौड़ना
Alright,ठीक
Promise,वादा
Taken,लिया
Safe,सुरक्षित
Pay,वेतन
Crazy,पागल
Forget,भूल जाओ
Everybody,हर कोई
Kid,बच्चा
Change,परिवर्तन
Give,देना
Fruit,फल
Drink,पीना
Far,दूर
Know,जानना
Easy,आसान
Time,समय
Check,जाँच करना
Leg,टांग
Man,आदमी
Job,काम
